physics,alpha,penalty_ratio,split,rmse,rmse,mae,mae,r2,r2,mean_error_min,mean_error_min,rmse_bias_removed,rmse_bias_removed,pct_over_predictions,pct_over_predictions,mean_over_pred_min,mean_over_pred_min,max_over_pred_min,max_over_pred_min,safety_loss_min2,safety_loss_min2
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
on,0.5,1.0,ood,39.537,1.8026,25.0087,0.9412,0.4131,0.0532,-13.8831,1.4963,37.0047,1.5379,36.1437,1.9561,15.3834,0.8643,153.3958,27.4096,464.047,39.9023
on,0.5,1.0,test,26.3139,0.5826,15.927,0.3619,0.8768,0.0054,0.2524,0.3049,26.3112,0.5837,48.5311,0.7263,16.6696,0.3211,268.4153,6.8425,415.4575,17.7515
on,0.5,1.0,val,23.7395,0.3865,14.9872,0.23,0.898,0.0033,-0.0444,0.2661,23.7383,0.3872,49.695,0.7473,15.0342,0.1767,242.7771,7.9227,314.811,9.8507
on,0.6,1.4999999999999998,ood,41.1821,1.9636,25.6013,1.1657,0.3632,0.0613,-18.0841,1.8398,36.9819,1.4348,28.9981,2.1547,12.9124,0.9808,124.0523,13.1273,437.3704,26.302
on,0.6,1.4999999999999998,test,27.8264,0.7206,17.2787,0.5339,0.8622,0.0071,-2.3884,0.2474,27.7232,0.704,44.0459,0.3234,16.9051,0.4365,259.7475,7.2459,419.7821,19.0144
on,0.6,1.4999999999999998,val,25.2865,0.609,16.2205,0.4641,0.8842,0.0056,-2.5615,0.1717,25.156,0.6048,44.736,0.7936,15.2667,0.3823,229.8633,7.8204,319.9779,16.9677
on,0.7,2.333333333333333,ood,42.0376,0.5218,26.25,0.454,0.3376,0.0164,-21.1161,0.4463,36.3477,0.4699,20.6238,1.4372,12.4808,0.7151,99.2001,13.689,417.0579,10.4476
on,0.7,2.333333333333333,test,30.7473,0.8734,19.6039,0.69,0.8318,0.0096,-5.858,0.8349,30.1767,0.7918,39.023,1.2748,17.612,0.4495,266.1724,10.4697,452.415,22.4473
on,0.7,2.333333333333333,val,28.1631,0.8739,18.447,0.6275,0.8564,0.009,-5.8963,0.8102,27.5313,0.798,38.9177,1.0722,16.1204,0.5541,236.6287,17.569,350.9058,19.2038
on,0.8,4.000000000000001,ood,45.6693,0.9823,29.0303,0.6437,0.218,0.0337,-25.1499,0.7305,38.1189,0.7553,15.4064,1.0092,12.6106,0.4253,80.7578,15.8692,458.7521,14.6318
on,0.8,4.000000000000001,test,33.8155,0.4841,22.5071,0.4738,0.7966,0.0058,-11.8499,0.6955,31.6667,0.3236,30.1902,0.7979,17.6443,0.5644,262.5593,10.1589,445.8377,11.1447
on,0.8,4.000000000000001,val,31.4121,0.5319,21.2404,0.3992,0.8214,0.0061,-11.761,0.6893,29.1225,0.3944,30.1738,0.8313,15.699,0.5351,228.2969,17.4426,348.132,11.5912
on,0.9,9.000000000000002,ood,49.1781,1.2072,32.6349,0.9862,0.0931,0.0444,-29.8,1.1644,39.1171,0.6893,10.4348,0.8092,13.6062,1.0743,79.3797,15.7519,514.5383,19.6376
on,0.9,9.000000000000002,test,41.5914,0.9011,29.804,1.1567,0.6922,0.0134,-22.4499,1.172,35.0044,0.3311,19.6918,0.6318,18.687,1.1399,238.5278,10.4895,499.9497,15.6952
on,0.9,9.000000000000002,val,39.1201,0.8844,28.1801,1.0985,0.7229,0.0126,-21.8873,1.1121,32.4172,0.3364,19.3506,0.6162,16.2717,1.0406,206.6175,6.642,406.3573,15.2939
on,0.95,18.999999999999982,ood,53.6365,1.1897,37.026,1.1209,-0.0787,0.0472,-34.9473,1.0306,40.6874,0.6886,7.051,0.3931,14.7702,1.0936,65.9832,7.8569,595.8787,26.2983
on,0.95,18.999999999999982,test,51.4742,1.2587,38.6024,1.2671,0.5286,0.0228,-33.4448,1.2932,39.1243,0.5635,13.8033,0.5412,18.6755,0.7588,222.8924,7.5716,631.8151,23.1452
on,0.95,18.999999999999982,val,48.9236,1.2023,36.812,1.2586,0.5666,0.021,-32.5116,1.2208,36.5545,0.5515,13.8209,0.5286,15.5454,0.8009,175.764,8.8391,541.4271,24.8096
